_author_name,Author,DBLP URL,MTMT id,MTA ATT id,MTMT name,Category,MTMT Status,Works,Affiliations,Core A*,Core A,Core A* Papers,Core A Papers,Core B,Core C,No Core,Hungarian Core A* equivalent,Core A* equivalent,First Author Core A* equivalent,MTMT Journal Publications,MTMT Conference Publications,MTMT Total Citations,MTMT Journal D1 Equivalents,MTMT Journal D1,MTMT Journal Q1,MTMT Journal Q2,MTMT Affiliations,Aktuális fokozat szakterülete,Kutatási téma,MTA Bizottság,Elérhetőségek,Aktuális fokozat,Szervezeti tagságok,PhD éve,Foglalkozás,Core A* equivalent Author Order,Hungarian Core A* equivalent Author Order,First Author Core A* equivalent Author Order,Years Since PhD,Age Group,Category Core A* Rank,Category Hungarian Core A* Rank,Category First Author Core A* Rank,Age Group Core A* Rank,Age Group Hungarian Core A* Rank,Age Group First Author Core A* Rank,MTMT Journal Q3,MTMT Journal Q4,Született,MTA tagság,MTA kép,Díjak,DBLP alias
Pegah Rahimian,Pegah Rahimian,https://dblp.org/pid/301/9114,https://m2.mtmt.hu/api/author/10080488,-,Rahimian Pegah (informatika),applied,,hungary,BME-TMIT,0,1,0,1,0,0,2,0.3333333333333333,0.3333333333333333,0.3333333333333333,7,1,41,1.3541666666666667,,3,1,Távközlési és Médiainformatikai Tanszék BME / VIK TMIT [2003-2024]; Informatikai Tudományok Doktori Iskola BME / EHBDT [2002-],,,,,,,,,436,334,201,0,0-5 év,217,200,89,317,236,145,,3,,,,,
Sándor Mandusitz,Sándor Mandusitz,https://dblp.org/pid/31/5808,,,,,,hungary,ELTE,0,1,0,1,0,0,0,0.3333333333333333,0.3333333333333333,0.0,,,,,,,,,,,,,,,,,436,334,201,0,0-5 év,94,23,41,317,236,145,,,,,,,
Zoltan Reppa,Zoltan Reppa,https://dblp.org/pid/315/2741,,,,,,hungary,SZTAKI,0,1,0,1,0,0,0,0.3333333333333333,0.3333333333333333,0.0,,,,,,,,,,,,,,,,,436,334,201,0,0-5 év,94,23,41,317,236,145,,,,,,,
Bandó Kovács,Bandó Kovács,https://dblp.org/pid/315/4316,,,,,,hungary,ELTE,0,1,0,1,0,0,1,0.3333333333333333,0.3333333333333333,0.0,,,,,,,,,,,,,,,,,436,334,201,0,0-5 év,94,23,41,317,236,145,,,,,,,
Tamás Tófalvi,Tamás Tófalvi,https://dblp.org/pid/315/4488,,,,,,hungary,ELTE,0,1,0,1,0,0,1,0.3333333333333333,0.3333333333333333,0.3333333333333333,,,,,,,,,,,,,,,,,436,334,201,0,0-5 év,94,23,41,317,236,145,,,,,,,
István Ákos Mórocz,István Ákos Mórocz,https://dblp.org/pid/33/7294,,,,,,hungary,McGill University,0,1,0,0,0,0,4,0.0,0.3333333333333333,0.0,,,,,,,,,,,,,,,,,436,334,201,0,0-5 év,94,23,41,317,236,145,,,,,,,
Peter Tarján,Peter Tarján,https://dblp.org/pid/34/2306,https://m2.mtmt.hu/api/author/10041059,,Tarján Péter Miklós (távközlés),applied,inactive,company,BME-TMIT,0,1,0,1,0,0,1,0.3333333333333333,0.3333333333333333,0.0,1,0,21,0,,,,Távközlési és Médiainformatikai Tanszék BME / VIK TMIT [2003-2024],,,,,,,,,436,334,201,0,0-5 év,217,200,89,317,236,145,,,,,,,
Noor Al-Gburi,Noor Al-Gburi,https://dblp.org/pid/360/4597,https://m2.mtmt.hu/api/author/10087286,-,"Al-Gburi Noor (Blockchain, dependable systems, )",applied,inactive,abroad,abroad,0,1,0,1,0,0,1,0.3333333333333333,0.3333333333333333,0.3333333333333333,0,0,1,0,,,,Méréstechnika és Információs Rendszerek Tanszék BME / VIK MIT [2000-2024]; Mesterséges Intelligencia és Rendszertervezés Tanszék BME / VIK MIT [2024-],,,,,,,,,436,334,201,0,0-5 év,217,200,89,317,236,145,,,,,,,
Martin Isztin,Martin Isztin,https://dblp.org/pid/377/9959,,,,,,company,SZTE,0,1,0,1,0,0,0,0.3333333333333333,0.3333333333333333,0.0,,,,,,,,,,,,,,,,,436,334,201,0,0-5 év,94,23,41,317,236,145,,,,,,,
Tamás Nepusz,Tamás Nepusz,https://dblp.org/pid/38/8248,https://m2.mtmt.hu/api/author/10020402,-,Nepusz Tamás (informatika),applied,inactive,company,ELTE,0,1,0,1,0,0,0,0.3333333333333333,0.3333333333333333,0.0,46,1,4299,21.75,18,8,6,MTA KFKI Részecske- és Magfizikai Kutató Intézet KFKI RMKI [1992-2011]; Biológiai Fizika Tanszék ELTE / TTK / FizCsill_I BioF_Tsz [2006-]; MTA-ELTE Statisztikus és Biológiai Fizika Kutatócsoport ELTE / TTK / Fiz_I [2007-2022]; Biofizikai Önálló Osztály KFKI RMKI [1992-2011],,,,,,,,,436,334,201,0,0-5 év,217,200,89,317,236,145,1,,,,,,
Márk Marosi,Márk Marosi,https://dblp.org/pid/382/4608,,,,,,hungary,BME-MIT,0,0,0,0,2,0,0,0.3333333333333333,0.3333333333333333,0.0,,,,,,,,,,,,,,,,,436,334,201,0,0-5 év,94,23,41,317,236,145,,,,,,,
Panna Geher,Panna Geher,https://dblp.org/pid/388/7851,https://m2.mtmt.hu/api/author/10098552,-,Gehér Panna (Kombinatorikus geometria),theory,,hungary,ELTE,0,1,0,1,0,0,0,0.3333333333333333,0.3333333333333333,0.3333333333333333,3,0,0,1.25,1,,1,Matematika Doktori Iskola ELTE / TTK PhD_Mat_DI [2006-]; Geometria HRN RAMKI [1955-],,,,,,,,,436,334,201,0,0-5 év,127,113,73,317,236,145,1,,,,,,
János Barát,János Barát,https://dblp.org/pid/39/6443,https://m2.mtmt.hu/api/author/10001177,https://mta.hu/koztestuleti_tagok?PersonId=17312,Barát János (Kombinatorika),theory,,hungary,"University of Pannonia, Veszprem; Rényi",0,1,0,1,0,0,0,0.3333333333333333,0.3333333333333333,0.3333333333333333,57,2,658,13.562500000000002,2,25,14,Bolyai Intézet (Matematikai Tanszékcsoport) SZTE / TTIK MTCS [2007-2015]; MTA-ELTE Geometriai és algebrai kombinatorika kutatócsoport ELTE / TTK / Mat_I [2013-2023]; Bolyai Intézet (Matematikai Intézet) SZTE / TTIK MI [2016-]; Matematika Tanszék PE / MIK MAT [2006-]; Diszkrét Matematika RAMKI DM [1955-2021]; Matematika- és Számítástudományok Doktori Iskola SZTE / DI MDI [2000-2021]; Geometria HRN RAMKI [1955-]; HUN-REN-ELTE Geometriai és Algebrai Kombinatorika Kutatócsoport ELTE / TTK / Mat_I [2023-],Matematikai tudomány,Gráfminorok Gráfszínezések Véges projektív síkok blokkoló halmazai,Matematikai Tudományos Bizottság,"Rényi Alfréd Matematikai Kutatóintézet 1053 Budapest, Reáltanoda utca 13-15 Magyarország Email: barat@renyi.hu; Pannon Egyetem Műszaki Informatikai Kar Matematika Tanszék 8200 Veszprém, Egyetem út 10. Magyarország Tel.: +36 88 426202 Email: barat@mik.uni-pannon.hu",PhD (2001),Matematikai Tudományos Bizottság; Veszprémi Területi Bizottság; Diszkrét Matematikai Munkabizottság,2001,tudományos főmunkatárs,436,334,201,24,20+ év,127,113,73,44,43,25,10,1,,,,MTA VEAB „Az év kutatója” cím: 2011; Bolyai János Kutatási Ösztöndíj (MTA Bolyai János Kutatási Ösztöndíj Kuratóriuma): 2009; Grünwald Géza-díj (Bolyai János Matematikai Társulat): 2002,
Dezsö Miklós,Dezsö Miklós,https://dblp.org/pid/51/5999,,,,theory,,hungary,Rényi,0,1,0,1,0,0,4,0.3333333333333333,0.3333333333333333,0.0,,,,,,,,,,,,,,,,,436,334,201,0,0-5 év,127,113,73,317,236,145,,,,rendes tag,,,
Judit Nagy-Gyorgy,Judit Nagy-Gyorgy,https://dblp.org/pid/64/4568,https://m2.mtmt.hu/api/author/10029113,https://mta.hu/koztestuleti_tagok?PersonId=32402,Nagy-György Judit (Kombinatorika),theory,,hungary,SZTE,0,1,0,1,0,0,1,0.3333333333333333,0.3333333333333333,0.0,17,2,106,4.145833333333334,1,5,8,Matematika- és Számítástudományok Doktori Iskola SZTE / DI MDI [2000-2021]; Bolyai Intézet (Matematikai Tanszékcsoport) SZTE / TTIK MTCS [2007-2015]; Bolyai Intézet (Matematikai Intézet) SZTE / TTIK MI [2016-],Matematikai és számítástudomány,,Matematikai Tudományos Bizottság,"Szegedi Tudományegyetem Természettudományi és Informatikai Kar Bolyai Intézet 6720 Szeged, Aradi vértanúk tere 1., Magyarország Email: Nagy-Gyorgy@math.u-szeged.hu",PhD (2010),Matematikai Tudományos Bizottság; Szegedi Területi Bizottság; Matematikai Munkabizottság (szavazati jogú tag),2010,,436,334,201,15,10-20 év,127,113,73,60,43,26,1,1,"Pásztó, 1977.02.24.",,,,
Zsolt Molnár,Zsolt Molnár,https://dblp.org/pid/70/543,,,,theory,,hungary,hungary,0,0,0,0,0,1,2,0.08333333333333333,0.08333333333333333,0.08333333333333333,,,,,,,,,,,,,,,,,436,334,201,0,0-5 év,127,113,73,317,236,145,,,,,,,
András Kárpáti,András Kárpáti,https://dblp.org/pid/75/8393,,,,,,hungary,SZTE,0,1,0,1,0,0,0,0.3333333333333333,0.3333333333333333,0.0,,,,,,,,,,,,,,,,,436,334,201,0,0-5 év,94,23,41,317,236,145,,,,,,,
Zoltán Balogh 0003,Zoltán Balogh 0003,https://dblp.org/pid/85/5053-3,,,,applied,inactive,hungary,BME-MIT,0,0,0,0,2,0,0,0.3333333333333333,0.3333333333333333,0.0,,,,,,,,,,,,,,,,,436,334,201,0,0-5 év,217,200,89,317,236,145,,,,,,,
Máté Nagy 0001,Máté Nagy 0001,https://dblp.org/pid/329/5131,https://m2.mtmt.hu/api/author/10020331,-,Nagy Máté (Biológiai fizika),applied,,hungary,ELTE,0,1,0,1,0,0,3,0.3333333333333333,0.3333333333333333,0.0,39,1,2357,27.749999999999996,26,4,2,Fizika Doktori Iskola ELTE / TTK PhD_Fiz_DI [2006-]; Biológiai Fizika Tanszék ELTE / TTK / FizCsill_I BioF_Tsz [2006-]; MTA-ELTE Statisztikus és Biológiai Fizika Kutatócsoport ELTE / TTK / Fiz_I [2007-2022]; MTA-ELTE Lendület Csoportos Viselkedés Kutatócsoport ELTE / TTK / FizCsill_I [2019-]; Evolúciótudományi Intézet HUN-REN ÖK ETI [2019-],,,,,,,,,436,334,201,0,0-5 év,217,200,89,317,236,145,1,,,,,,
Ottilia Fülöp,Ottilia Fülöp,https://dblp.org/pid/93/481,https://m2.mtmt.hu/api/author/10022680,,Fülöp Ottilia (Otília) (matematika),theory,,hungary,BME-TTK,0,1,0,1,0,0,0,0.3333333333333333,0.3333333333333333,0.0,19,1,36,3.0,1,2,6,Analízis és Operációkutatás Tanszék BME / TTK / MI AOT [2023-]; Differenciálegyenletek Tanszék BME / TTK / MI DT [2000-2023],,,,,,,,,436,334,201,0,0-5 év,127,113,73,317,236,145,4,,,,,,
Boldizsár Bencsáth,Boldizsár Bencsáth,https://dblp.org/pid/53/4492,https://m2.mtmt.hu/api/author/10025599,https://mta.hu/koztestuleti_tagok?PersonId=23860,Bencsáth Boldizsár (Adatbiztonság),,inactive,,,0,0,0,0,0,3,3,0.16666666666666666,0.25,0.25,11,0,512,1.25,1,,1,Híradástechnikai Tanszék BME / VIK HIT [2000-2012]; Hálózati Rendszerek és Szolgáltatások Tanszék BME / VIK HRSZT [2013-],Informatikai tudomány,,Távközlési Tudományos Bizottság,,PhD (2011),Távközlési Tudományos Bizottság,2011,,436,334,201,14,10-20 év,94,23,41,60,43,26,1,,"Budapest, 1976.12.08.",,,Pollák-Virág-díj (Hírközlési és Informatikai Tudományos Egyesület): 2008,
Piroska Biró,Piroska Biró,https://dblp.org/pid/170/3952,https://m2.mtmt.hu/api/author/10038604,https://mta.hu/koztestuleti_tagok?PersonId=10046378,"Biró Piroska (Informatika, Matematika)",,,,,0,0,0,0,2,0,8,0.0,0.3333333333333333,0.16666666666666666,24,2,249,1.4583333333333335,,1,5,Informatikai Kar DE IK [2014-]; Információ Technológia Tanszék DE / IK InfTechT [2014-]; Debreceni Egyetem DE [2000-],Informatika,"informatika didaktika, számítógépes problémamegoldás, algoritmikus gondolkodás fejlesztése, interaktív tábla",Informatikai Tudományos Bizottság,"Debreceni Egyetem Informatikai Kar Információ Technológia Tanszék 4010 Debrecen, Pf. 12. Magyarország",PhD (2015),Informatikai Tudományos Bizottság; Informatikai Munkabizottság (tag),2015,adjunktus,436,334,201,10,5-10 év,94,23,41,18,15,8,2,2,"Ditró, 1983.05.18.",,https://aat.mta.hu/aat/FileData/Get/13948,Rektori Elismerő Oklevél: 2014,
László Blázovics,László Blázovics,https://dblp.org/pid/98/8693,https://m2.mtmt.hu/api/author/10042291,https://mta.hu/koztestuleti_tagok?PersonId=10048580,Blázovics László (Alkalmazott informatika),,,,,0,0,0,0,1,2,12,0.16666666666666666,0.3333333333333333,0.16666666666666666,5,2,78,0.5833333333333334,,,3,Automatizálási és Alkalmazott Informatikai Tanszék BME / VIK AAIT [2000-],Informatikai tudomány,,Informatikai Tudományos Bizottság,"Budapesti Műszaki és Gazdaságtudományi Egyetem Villamosmérnöki és Informatikai Kar Automatizálási és Alkalmazott Informatikai Tanszék 1117 Budapest, Magyar tudósok körút 2. Magyarország Email: blazovics.laszlo@aut.bme.hu",PhD (2015),Informatikai Tudományos Bizottság,2015,,436,334,201,10,5-10 év,94,23,41,18,15,8,1,,"Budapest, 1985.10.05.",,,,
Tibor Guzsvinecz,Tibor Guzsvinecz,https://dblp.org/pid/182/6084,https://m2.mtmt.hu/api/author/10060181,https://mta.hu/koztestuleti_tagok?PersonId=10063114,Guzsvinecz Tibor (Digitális valóság),,,,,0,0,0,0,0,4,17,0.0,0.3333333333333333,0.08333333333333333,48,4,665,8.666666666666668,1,9,24,Műszaki Informatikai Kar PE MIK [2006-]; Villamosmérnöki és Információs Rendszerek Tanszék PE / MIK VIRT [2006-]; Informatikai Rendszerek és Alkalmazásai Tanszék PE / MIK IRAT [2021-],Informatika,"Virtuális valóság, ember-gép közti interakció",Informatikai Tudományos Bizottság,"Pannon Egyetem Műszaki Informatikai Kar Informatikai Rendszerek és Alkalmazásai Tanszék 8200 Veszprém, Egyetem utca 10. Magyarország Email: guzsvinecz.tibor@zek.uni-pannon.hu",PhD (2021),Informatikai Tudományos Bizottság,2021,Egyetemi docens,436,334,201,4,0-5 év,94,23,41,317,236,145,8,,"Nagyatád, 1991.11.07.",,https://aat.mta.hu/aat/FileData/Get/31894,,
Laszlo Gyongyosi,Laszlo Gyongyosi,https://dblp.org/pid/17/8035,https://m2.mtmt.hu/api/author/10040623,https://mta.hu/koztestuleti_tagok?PersonId=10048990,Gyöngyösi László (Informatika),,inactive,,,0,0,0,0,0,2,8,0.08333333333333333,0.16666666666666666,0.08333333333333333,115,34,3461,30.229166666666668,22,10,25,Híradástechnikai Tanszék BME / VIK HIT [2000-2012]; Hálózati Rendszerek és Szolgáltatások Tanszék BME / VIK HRSZT [2013-]; MTA-BME Informatikai Rendszerek Kutatócsoport BME / VIK / HRSZT [2013-2022],Informatikai tudomány,Kvantuminformatika,Távközlési Tudományos Bizottság,"Budapesti Műszaki és Gazdaságtudományi Egyetem Villamosmérnöki és Informatikai Kar Hálózati Rendszerek és Szolgáltatások Tanszék 1117 Budapest, Magyar tudósok körútja 2. Magyarország; MTA egyéb intézetei 1051 Budapest, Arany János u. 1. Magyarország",PhD (2013),Távközlési Tudományos Bizottság,2013,,436,334,201,12,10-20 év,94,23,41,60,43,26,5,5,"Budapest, 1983.02.24.",,,,
Gábor Lencse,Gábor Lencse,https://dblp.org/pid/97/5081,https://m2.mtmt.hu/api/author/10026700,https://mta.hu/koztestuleti_tagok?PersonId=24358,Lencse Gábor (Infokommunikáció),,,,,0,0,0,0,2,0,19,0.0,0.3333333333333333,0.16666666666666666,71,4,673,6.812500000000001,,9,14,"Távközlési Tanszék SZE / MTK / JÁGIVI TÁT [2005-2011]; Hálózati Rendszerek és Szolgáltatások Tanszék BME / VIK HRSZT [2013-]; Távközlési Tanszék SZE / MTK TT [2012-2015]; Távközlési Tanszék SZE / GIVK TT [2015-2025]; Széchenyi István Egyetem SZE [2002-]; Gépészmérnöki, Informatikai és Villamosmérnöki Kar SZE GIVK [2015-2025]; Híradástechnikai Tanszék BME / VIK HIT [2000-2012]; Informatikai és Villamosmérnöki Kar SZE IVK [2025-]; Villamosmérnöki és Infokommunikációs Tanszék SZE / IVK VIKT [2025-]",Informatikai tudomány,"IPv6 áttérési technológiák biztonsági kérdéseinek vizsgálata IPv6 áttérési technológiák teljesítőképességének vizsgálata párhuzamos diszkrét idejű szimuláció számítógép-hálózatok protokolljai, különösen IP multicast, IPv6",Távközlési Tudományos Bizottság,"Széchenyi István Egyetem Gépészmérnöki, Informatikai és Villamosmérnöki Kar Távközlési Tanszék 9026 Győr, Egyetem tér 1. Magyarország; Budapesti Műszaki és Gazdaságtudományi Egyetem Villamosmérnöki és Informatikai Kar Hálózati Rendszerek és Szolgáltatások Tanszék 1117 Budapest, Magyar tudósok körútja 2. Magyarország Email: lencse@hit.bme.hu",PhD (2001),Távközlési Tudományos Bizottság,2001,"egyetemi tanár, Tudományos főmunkatárs",436,334,201,24,20+ év,94,23,41,44,43,25,14,5,"Győr, 1970.12.07.",,,,
Attila Magyar,Attila Magyar,https://dblp.org/pid/143/5885,https://m2.mtmt.hu/api/author/10002462,https://mta.hu/koztestuleti_tagok?PersonId=21322,Magyar Attila (Informatika),,,,,0,1,0,0,0,0,4,0.0,0.3333333333333333,0.3333333333333333,59,23,457,14.416666666666666,9,6,16,Folyamatirányítási Kutatócsoport MTA SZTAKI [1998-2012]; Villamosmérnöki és Információs Rendszerek Tanszék PE / MIK VIRT [2006-],Informatika,Nemlineáris rendszerek irányítása Villamos energetikai rendszerek optimális irányítása,Informatikai Tudományos Bizottság,"Pannon Egyetem Műszaki Informatikai Kar Villamosmérnöki és Információs Rendszerek Tanszék 8200 Veszprém, Egyetem út 10. Magyarország Tel.: +36 88 624607 Email: magyar.attila@mik.uni-pannon.hu",MTA doktora (2023),"Informatikai Tudományos Bizottság (titkár, szavazati jogú tag); Folyamatmérnöki Munkabizottság (szavazati jogú tag)",2008,egyetemi tanár,436,334,201,17,10-20 év,94,23,41,60,43,26,9,,,,https://aat.mta.hu/aat/FileData/Get/40324,,
Andrea Manno-Kovács,Andrea Manno-Kovács,https://dblp.org/pid/158/9626,https://m2.mtmt.hu/api/author/10019781,https://mta.hu/koztestuleti_tagok?PersonId=10054733,Manno-Kovács Andrea (Számítógépes látás),,,,,0,0,0,0,0,2,4,0.0,0.16666666666666666,0.16666666666666666,22,6,410,7.333333333333334,5,5,4,Interdiszciplináris Műszaki Tudományok Doktori Iskola PPKE / ITK ITK DI [2003-2013]; Multidiszciplináris Műszaki és Természettudományi Doktori Iskola PPKE / ITK MMT DI [2013-2015]; Elosztott Események Elemzése Kutatócsoport MTA SZTAKI [1991-2016]; Gépi Érzékelés Kutatólaboratórium HRN SZTAKI GÉK [2017-],Informatikai tudomány,Alakfelismerés Földfelszín megfigyelés Kép és videófeldolgozás Légi és műholdképek elemzése Szaliens objektum detekció,Informatikai Tudományos Bizottság,"Számítástechnikai és Automatizálási Kutatóintézet 1111 Budapest, Kende utca 13-17. Magyarország Email: andrea.manno-kovacs@sztaki.hu",PhD (2013),Informatikai Tudományos Bizottság,2013,,436,334,201,12,10-20 év,94,23,41,60,43,26,,,"Budapest, 1985.08.28.",,https://aat.mta.hu/aat/FileData/Get/38966,,
Attila Adamkó,Attila Adamkó,https://dblp.org/pid/67/6836,https://m2.mtmt.hu/api/author/10013742,https://mta.hu/koztestuleti_tagok?PersonId=22605,Adamkó Attila (Matematika- és számítástudományok),theory,inactive,,,0,0,0,0,0,4,10,0.0,0.3333333333333333,0.3333333333333333,15,1,239,0.8958333333333333,,,3,Informatikai Kar DE IK [2014-]; Információ Technológia Tanszék DE / IK InfTechT [2014-],Matematikai és számítástudomány,Adatbázisok Operációs rendszerek Webalkalmazások modellezése XML technológiák,Informatika- és Számítástudományi Bizottság,"Debreceni Egyetem Informatikai Kar Információ Technológia Tanszék 4010 Debrecen, Pf. 12. Magyarország Tel.: +36 52 512900 / 75226 Email: adamkoa@inf.unideb.hu",PhD (2008),Informatika- és Számítástudományi Bizottság; Debreceni Területi Bizottság,2008,egyetemi docens,436,334,201,17,10-20 év,127,113,73,60,43,26,4,1,,,https://aat.mta.hu/aat/FileData/Get/28379,,
Tibor Ásványi,Tibor Ásványi,https://dblp.org/pid/46/4354,https://m2.mtmt.hu/api/author/10012650,https://mta.hu/koztestuleti_tagok?PersonId=18662,Ásványi Tibor (Informatika),theory,,,,0,0,0,0,0,1,2,0.0,0.08333333333333333,0.08333333333333333,7,0,0,0.20833333333333331,,,,Algoritmusok és Alkalmazásaik Tanszék ELTE / IK AlgAlk_Tsz [2006-],Informatikai tudomány,Algoritmusok és adatszerkezetek Logikai programozás Mesterséges intelligencia Programozási nyelvek,Informatika- és Számítástudományi Bizottság,"Eötvös Loránd Tudományegyetem Informatikai Kar Algoritmusok és Alkalmazásaik Tanszék 1117 Budapest, Pázmány Péter sétány 1/C Magyarország Tel.: +36 1 3722500 / 8489 Email: asvanyi@inf.elte.hu Honlap: http://aszt.inf.elte.hu/~asvanyi/",PhD (2002),Informatika- és Számítástudományi Bizottság,2002,Egyetemi docens,436,334,201,23,20+ év,127,113,73,44,43,25,1,2,,,,,
Gabriella Juhász,Gabriella Juhász,https://dblp.org/pid/184/4574,,,,,,hungary,Semmelweis University,0,0,0,0,1,1,1,0.25,0.25,0.0,,,,,,,,,,,,,,,,,436,334,201,0,0-5 év,94,23,41,317,236,145,,,,,,,
Jinat Ara,Jinat Ara,https://dblp.org/pid/210/5800,https://m2.mtmt.hu/api/author/10081343,-,Ara Jinat (Computer Science),applied,,hungary,hungary,0,0,0,0,0,3,3,0.25,0.25,0.16666666666666666,16,0,112,4.083333333333333,2,2,6,Villamosmérnöki és Információs Rendszerek Tanszék PE / MIK VIRT [2006-],,,,,,,,,436,334,201,0,0-5 év,217,200,89,317,236,145,5,,,,,,
János Oláh,János Oláh,https://dblp.org/pid/24/10067,,,,theory,,hungary,hungary,0,0,0,0,1,1,2,0.25,0.25,0.16666666666666666,,,,,,,,,,,,,,,,,436,334,201,0,0-5 év,127,113,73,317,236,145,,,,,,,
Illés Horváth,Illés Horváth,https://dblp.org/pid/59/7058,https://m2.mtmt.hu/api/author/10019825,-,Horváth Illés (valószínűség-elmélet),theory,,hungary,BME-HIT,0,0,0,0,1,1,12,0.25,0.25,0.0,26,7,210,4.749999999999999,2,1,12,MTA-BME Informatikai Rendszerek Kutatócsoport BME / VIK / HRSZT [2013-2022]; MTA-BME Sztochasztika Kutatócsoport BME / TTK / MI / SZT MTABMESZK [2000-2022]; Sztochasztika Tanszék BME / TTK / MI SZT [2000-]; HUN-REN-BME Informatikai Rendszerek Kutatócsoport BME / VIK / HRSZT [2023-]; ELKH-BME Informatikai Rendszerek Kutatócsoport BME / VIK / HRSZT [2022-2023]; HUN-REN-BME Sztochasztika Kutatócsoport BME / TTK / MI / SZT [2023-]; ELKH-BME Sztochasztika Kutatócsoport BME / TTK / MI / SZT ELKHBMESZK [2022-2023],,,,,,,,,436,334,201,0,0-5 év,127,113,73,317,236,145,5,,,,,,
László Gönczy,László Gönczy,https://dblp.org/pid/83/4448,https://m2.mtmt.hu/api/author/10041117,https://mta.hu/koztestuleti_tagok?PersonId=10061328,Gönczy László (informatika),applied,,hungary,BME-MIT,0,0,0,0,1,1,18,0.25,0.25,0.0,17,3,298,2.2291666666666665,,2,8,Méréstechnika és Információs Rendszerek Tanszék BME / VIK MIT [2000-2024]; Kritikus Rendszerek Kutatócsoport BME / VIK / MIT ftsrg [2021-]; Mesterséges Intelligencia és Rendszertervezés Tanszék BME / VIK MIT [2024-],Informatika,Adatvezérelt folyamatmodellezés Rendszermodellek szintézise és analízise,Informatikai Tudományos Bizottság,"Budapesti Műszaki és Gazdaságtudományi Egyetem Villamosmérnöki és Informatikai Kar Mesterséges Intelligencia és Rendszertervezés Tanszék 1117 Budapest, Magyar Tudósok Körútja 2. Magyarország",PhD (2019),Informatikai Tudományos Bizottság,2019,,436,334,201,6,5-10 év,217,200,89,18,15,8,2,1,"Budapest, 1980.06.19.",,,,
Péter Csuti,Péter Csuti,https://dblp.org/pid/147/3611,https://m2.mtmt.hu/api/author/10028164,https://mta.hu/koztestuleti_tagok?PersonId=10051445,Csuti Péter (szín- és fénytan),,inactive,,,0,0,0,0,0,3,1,0.0,0.25,0.0,24,2,219,3.895833333333333,1,6,4,Villamosmérnöki és Információs Rendszerek Tanszék PE / MIK VIRT [2006-],Elektronika és informatika,"fény- és színmérés, spektrális mérések, világítástechnika",Elektronikus Eszközök és Technológiák Tudományos Bizottsága,"Pannon Egyetem Műszaki Informatikai Kar Villamosmérnöki és Információs Rendszerek Tanszék 8200 Veszprém, Egyetem út 10. Magyarország",PhD (2017),Elektronikus Eszközök és Technológiák Tudományos Bizottsága; Magyar Elektrotechnikai Egyesület; Nemzetközi Világítástechnikai Bizottság Magyar Nemzeti Bizottsága,2017,,436,334,201,8,5-10 év,94,23,41,18,15,8,2,1,"Egyéb, 1975.10.06.",,,,
Gergely Kovács,Gergely Kovács,https://dblp.org/pid/72/10256,https://m2.mtmt.hu/api/author/10029777,https://mta.hu/koztestuleti_tagok?PersonId=10058176,Kovács Gergely (Elektromágneses terek szimulációja),,,,,0,0,0,0,0,3,1,0.0,0.25,0.25,14,0,29,1.1666666666666665,,1,1,"Automatizálási Tanszék SZE / MTK AT [2012-2015]; Gépészmérnöki, Informatikai és Villamosmérnöki Kar SZE GIVK [2015-]; Széchenyi István Egyetem SZE [2002-]; Automatizálási Tanszék SZE / GIVK AT [2015-2022]; Automatizálási Tanszék SZE / MTK / JÁGIVI AT [2005-2011]; Automatizálási és Mechatronika Tanszék SZE / GIVK AMT [2022-]",Informatikai tudomány,,Elektrotechnikai Tudományos Bizottság,,PhD (2020),Elektrotechnikai Tudományos Bizottság,2020,,436,334,201,5,0-5 év,94,23,41,317,236,145,8,,"Sopron, 1984.05.21.",,,,
György Strausz,György Strausz,https://dblp.org/pid/77/2244,https://m2.mtmt.hu/api/author/10011690,https://mta.hu/koztestuleti_tagok?PersonId=17255,Strausz György (Számítástechnika),,,,,0,0,0,0,0,3,0,0.08333333333333333,0.25,0.0,11,1,48,0.3333333333333333,,1,,Méréstechnika és Információs Rendszerek Tanszék BME / VIK MIT [2000-2024]; Budapesti Műszaki Egyetem BME [1949-2000]; Mesterséges Intelligencia és Rendszertervezés Tanszék BME / VIK MIT [2024-],Informatikai tudomány,Intelligens rendszerek Mesterséges intelligencia Neurális hálózatok,Automatizálási és Számítástechnikai Tudományos Bizottság,"Budapesti Műszaki és Gazdaságtudományi Egyetem Villamosmérnöki és Informatikai Kar Mesterséges Intelligencia és Rendszertervezés Tanszék 1117 Budapest, Magyar Tudósok Körútja 2. Magyarország Tel.: +36 1 4634394 Fax: +36 1 4634112",PhD (1999),Automatizálási és Számítástechnikai Tudományos Bizottság,1999,Egyetemi docens,436,334,201,26,20+ év,94,23,41,44,43,25,,,,,,,
